"McId","ICD9CM"
"OPS001","121"
"PLN001","078"
"HYP007","728"
"STP001","379"
"LCL001","379"
"EQT001","379"
"MYR001","384"
"ACT001","384"
"FML006","174"
"ANT023","379"
"INC003","077"
"CHR032","621"
"PHR002","077"
"FXF002","705"
"TTN002","366"
"PRS018","373"
"HYP028","352"
"SQM003","373"
"SWT003","705"
"SCL005","379"
"ACT028","365"
"EXT011","333"
"MLT009","352"
"FCL006","386"
"HYP030","302"
"TRC015","378"
"HYP081","272"
"BRD003","495"
"RDG001","368"
"WHT003","111"
"LYM011","099"
"LMB001","353"
"ACQ001","368"
"IRR001","367"
"SMT001","300"
"ACH003","368"
"NCR001","101"
"ACT023","098"
"BNG018","386"
"AMN001","626"
"URN003","120"
"ACT024","098"
"BLD009","596"
"NCL001","366"
"MRG001","366"
"SCH014","120"
"CHR093","376"
"FML017","174"
"PRM007","375"
"LCR008","375"
"PPT001","530"
"SPL005","442"
"BRC007","023"
"UTR016","218"
"ALG001","733"
"ALC009","571"
"FLC001","281"
"ART007","747"
"CNT011","372"
"RBS002","364"
"RSD001","365"
"NNT006","775"
"PRM024","365"
"PRR005","189"
"BPL002","296"
"VST003","379"
"BLC004","084"
"PLS007","084"
"GNC005","351"
"TXC006","386"
"RTC003","521"
"EPC002","726"
"RNL008","440"
"ACQ006","537"
"INF020","606"
"DQR001","727"
"MDN001","529"
"MST003","620"
"PLP003","521"
"FML026","272"
"TXC005","040"
"URT014","592"
"LTR006","618"
"ANS011","154"
"ACT038","377"
"MDL004","618"
"BLT002","386"
"OBS004","331"
"CNG020","279"
"CHR079","363"
"CLC004","726"
"BTN002","082"
"PLY008","357"
"ALC011","357"
"BCP001","726"
"FRZ001","726"
"PST025","379"
"ACT035","461"
"SCL008","379"
"OLG001","606"
"AZS001","606"
"ORB007","376"
"CHR041","380"
"GST018","021"
"EPP002","375"
"CYS012","362"
"CHR097","382"
"CHR042","382"
"VTR001","362"
"DYS010","362"
"RTN007","362"
"ORL005","112"
"ATR007","624"
"END038","251"
"NRG003","713"
"BRW005","379"
"GNR004","300"
"MXD019","084"
"PLS008","084"
"EST004","256"
"ACT053","245"
"CRN009","371"
"THR007","453"
"PRT023","191"
"PRT022","007"
"CRT009","357"
"LBY002","386"
"VLV015","624"
"DPT001","125"
"GLS004","352"
"ABN002","251"
"CRB033","331"
"CHR049","382"
"SCL011","370"
"CHL035","708"
"CHR054","365"
"GND004","758"
"DRC001","125"
"BRC008","023"
"BRC009","023"
"FRM003","495"
"SPR010","117"
"PRP014","371"
"CND003","112"
"PRT027","362"
"ARG003","379"
"SNL005","331"
"EXT020","521"
"ATR073","529"
"RYS001","331"
"SPH008","160"
"STR016","365"
"ANR005","320"
"FST001","377"
"GLS007","529"
"GGR001","529"
"NRL004","333"
"PST014","244"
"PPL021","377"
"PRS047","601"
"CHL070","445"
"SRS004","386"
"HYP086","244"
"LBY004","386"
"ECH003","122"
"LYM022","228"
"CHR030","098"
"AVD001","301"
"PRS038","301"
"CND004","112"
"CCM004","153"
"PNN001","729"
"CYS008","122"
"PNL013","607"
"CHL014","001"
"URT039","708"
"ART006","995"
"DRM009","111"
"MCH001","374"
"SPS001","374"
"FNG017","110"
"FNG017","111"
"FNG017","112"
"FNG017","113"
"FNG017","114"
"FNG017","115"
"FNG017","116"
"FNG017","117"
"FNG017","118"
"ECT005","374"
"CMM008","331"
"PLM015","517"
"ALC033","305"
"RSP006","519"
"LRY007","012"
"ACT017","517"
"CHR031","117"
"THR014","287"
"HYP026","251"
"LYM021","289"
"SKL001","015"
"CNT007","013"
"FML014","174"
"FML013","174"
"FML009","174"
"VNT002","745"
"RHM001","390"
"SPN014","512"
"LWM001","641"
"BHC001","711"
"CHR020","595"
"CYS018","595"
"CHR087","595"
"NRN004","209"
"END035","194"
"BNG011","333"
"PRT035","158"
"DDN001","532"
"DRG001","292"
"RTN021","362"
"FCL011","351"
"AMR001","115"
"HST011","115"
"FCT008","300"
"UNL001","386"
"CNV002","300"
"LBY001","386"
"VSC007","442"
"PNC008","157"
"THY122","193"
"SCN002","375"
"URT037","598"
"MNN002","354"
"EPL164","345"
"CRY003","007"
"MNN003","354"
"GNT001","526"
"HPT001","070"
"ECZ001","373"
"NNN006","373"
"ALL005","373"
"CNN001","304"
"CHR004","393"
"INT008","378"
"CHL067","575"
"TLG001","704"
"TRC003","131"
"FLL027","183"
"FCL013","363"
"RCT021","154"
"CHR007","381"
"PRR004","362"
"DGN003","362"
"ENT004","726"
"EXS001","726"
"ACT059","461"
"PST028","309"
"OTS003","381"
"PRN015","777"
"INT071","569"
"ATM011","571"
"OTL001","564"
"CNS004","564"
"TRN014","716"
"MYT023","359"
"HLS001","726"
"BCL002","279"
"PNM002","021"
"TTH005","521"
"TBR005","016"
"URG001","016"
"TMP002","191"
"ENM001","521"
"VGN023","616"
"DNT012","521"
"ECT006","757"
"ASC004","153"
"TLR001","021"
"CRB016","680"
"OCL009","190"
"ACT007","380"
"HMR003","287"
"PST024","251"
"BSL001","435"
"SPN020","721"
"HYP033","622"
"HPT021","570"
"ANK001","718"
"PRC015","380"
"VLV011","112"
"HDR003","705"
"ATR008","602"
"STR015","307"
"ESS003","238"
"FML039","629"
"MTR014","335"
"MLT013","495"
"PLY010","273"
"MND001","170"
"LTR001","335"
"PLS010","273"
"PHR003","462"
"MNC004","273"
"GNR003","440"
"IRN002","275"
"WST004","066"
"PST095","459"
"WST003","066"
"RNL097","593"
"HRD012","282"
"RHN003","117"
"CLT001","184"
"LPT001","100"
"ANT012","379"
"ANG010","372"
"CNT016","362"
"BLP006","372"
"OPP002","118"
"CHR086","372"
"VRN001","372"
"CNT017","386"
"CNG031","742"
"PHS001","275"
"SNS003","356"
"ENM002","521"
"HRD010","334"
"ALC013","291"
"TTH007","521"
"ALC003","291"
"SPL012","289"
"INF036","357"
"CHR043","357"
"HMN011","228"
"INT077","228"
"CHN011","733"
"OPT003","304"
"HMN010","228"
"CRV039","616"
"CRN025","371"
"RTN006","362"
"BRB002","304"
"LRY044","161"
"AGM001","279"
"PNC034","577"
"TRN003","153"
"HPT005","153"
"KDN017","189"
"PSY004","298"
"MSH001","495"
"PYL001","590"
"ADT003","388"
"NRC003","301"
"GLY013","271"
"TRN005","307"
"TCD001","307"
"RCT009","154"
"END084","259"
"CRN033","192"
"LNG028","426"
"BRX001","327"
"ACT029","516"
"ETH004","790"
"HRY003","202"
"ACQ010","289"
"NDL004","371"
"END044","617"
"IMM136","279"
"ACT027","577"
"LCR011","190"
"PLM001","011"
"SVR001","079"
"INN002","386"
"TST014","186"
"PRT002","002"
"STN001","375"
"GNG013","523"
"NRV006","192"
"TNS002","727"
"GST049","239"
"TNS001","727"
"GLL018","156"
"PRG001","335"
"SPN041","336"
"VSC001","336"
"NRL002","237"
"CNT005","200"
"SBC006","208"
"MNK002","059"
"THY025","164"
"BPL003","296"
"HST001","301"
"CRN006","414"
"ACC001","352"
"GLS008","352"
"SBC002","442"
"BLP001","374"
"SPT002","020"
"BRS051","610"
"BRS051","611"
"BRS051","612"
"PLG002","020"
"STR004","593"
"CRB038","191"
"MST001","202"
"GST010","630"
"PNC013","157"
"BLD044","596"
"ART016","441"
"OLF001","352"
"CRB040","191"
"ACT082","381"
"SKN016","702"
"ACT025","381"
"PSD009","752"
"EXT056","380"
"ART023","711"
"PRK001","692"
"MLR006","187"
"THR016","451"
"MNB001","162"
"ADR005","194"
"ACT076","422"
"EXT035","425"
"ESN004","535"
"ESN005","558"
"LVR013","573"
"NLD001","703"
"ORB012","190"
"PRM022","091"
"SCN006","091"
"INT078","434"
"PYD002","686"
"BRN048","191"
"CRB030","191"
"MYP004","359"
"PLM013","770"
"CNJ007","372"
"CNJ012","372"
"SYS005","710"
"TNC002","110"
"PST013","164"
"INT010","434"
"NRM005","358"
"BRT004","255"
"MYT003","359"
"BLD062","156"
"RTN015","190"
"FLM001","370"
"PRS042","602"
"SMT006","300"
"MLR007","608"
"ANT007","335"
"RNL018","189"
"NNP002","045"
"PLM031","045"
"THY030","246"
"PNL014","194"
"ADJ001","309"
"IDN001","244"
